movieId,title,year,popularity,genres
1,Toy Story,1995,60424,Adventure|Animation|Children|Comedy|Fantasy
2,Jumanji,1995,23950,Adventure|Children|Fantasy
3,Grumpier Old Men,1995,15267,Comedy|Romance
4,Waiting to Exhale,1995,2935,Comedy|Drama|Romance
5,Father of the Bride Part II,1995,14769,Comedy
6,Heat,1995,26593,Action|Crime|Thriller
7,Sabrina,1995,14846,Comedy|Romance
8,Tom and Huck,1995,1475,Adventure|Children
9,Sudden Death,1995,4329,Action
10,GoldenEye,1995,31357,Action|Adventure|Thriller
11,"American President, The",1995,19077,Comedy|Drama|Romance
12,Dracula: Dead and Loving It,1995,4328,Comedy|Horror
13,Balto,1995,1648,Adventure|Animation|Children
14,Nixon,1995,6750,Drama
15,Cutthroat Island,1995,3027,Action|Adventure|Romance
16,Casino,1995,19352,Crime|Drama
17,Sense and Sensibility,1995,23706,Drama|Romance
18,Four Rooms,1995,5781,Comedy
19,Ace Ventura: When Nature Calls,1995,22877,Comedy
20,Money Train,1995,4517,Action|Comedy|Crime|Drama|Thriller
21,Get Shorty,1995,25141,Comedy|Crime|Thriller
22,Copycat,1995,10858,Crime|Drama|Horror|Mystery|Thriller
23,Assassins,1995,4636,Action|Crime|Thriller
24,Powder,1995,8952,Drama|Sci-Fi
25,Leaving Las Vegas,1995,24233,Drama|Romance
26,Othello,1995,2979,Drama
27,Now and Then,1995,1787,Children|Drama
28,Persuasion,1995,3334,Drama|Romance
29,"City of Lost Children, The (Cité des enfants perdus, La)",1995,9638,Adventure|Drama|Fantasy|Mystery|Sci-Fi
30,Shanghai Triad (Yao a yao yao dao waipo qiao),1995,1343,Crime|Drama
31,Dangerous Minds,1995,11258,Drama
32,Twelve Monkeys (a.k.a. 12 Monkeys),1995,50380,Mystery|Sci-Fi|Thriller
33,Wings of Courage,1995,70,Adventure|Romance|IMAX
34,Babe,1995,33890,Children|Drama
35,Carrington,1995,1554,Drama|Romance
36,Dead Man Walking,1995,23295,Crime|Drama
37,Across the Sea of Time,1995,88,Documentary|IMAX
38,It Takes Two,1995,626,Children|Comedy
39,Clueless,1995,27244,Comedy|Romance
40,"Cry, the Beloved Country",1995,937,Drama
41,Richard III,1995,5025,Drama|War
42,Dead Presidents,1995,2549,Action|Crime|Drama
43,Restoration,1995,2630,Drama
44,Mortal Kombat,1995,12277,Action|Adventure|Fantasy
45,To Die For,1995,9458,Comedy|Drama|Thriller
46,How to Make an American Quilt,1995,3303,Drama|Romance
47,Seven (a.k.a. Se7en),1995,47630,Mystery|Thriller
48,Pocahontas,1995,15029,Animation|Children|Drama|Musical|Romance
49,When Night Is Falling,1995,253,Drama|Romance
50,"Usual Suspects, The",1995,53195,Crime|Mystery|Thriller
51,Guardian Angel,1994,33,Action|Drama|Thriller
52,Mighty Aphrodite,1995,10225,Comedy|Drama|Romance
53,Lamerica,1994,157,Adventure|Drama
54,"Big Green, The",1995,1017,Children|Comedy
55,Georgia,1995,966,Drama
56,Kids of the Round Table,1995,81,Adventure|Children|Comedy|Fantasy
57,Home for the Holidays,1995,2489,Drama
58,"Postman, The (Postino, Il)",1994,13267,Comedy|Drama|Romance
59,"Confessional, The (Confessionnal, Le)",1995,200,Drama|Mystery
60,"Indian in the Cupboard, The",1995,7347,Adventure|Children|Fantasy
61,Eye for an Eye,1996,2431,Drama|Thriller
62,Mr. Holland's Opus,1995,22608,Drama
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996,2575,Comedy|Crime
64,Two if by Sea,1996,2176,Comedy|Romance
65,Bio-Dome,1996,5636,Comedy
66,Lawnmower Man 2: Beyond Cyberspace,1996,2544,Action|Sci-Fi|Thriller
67,Two Bits,1995,174,Drama
68,French Twist (Gazon maudit),1995,1304,Comedy|Romance
69,Friday,1995,4894,Comedy
70,From Dusk Till Dawn,1996,13957,Action|Comedy|Horror|Thriller
71,Fair Game,1995,1330,Action
72,Kicking and Screaming,1995,1278,Comedy|Drama
73,"Misérables, Les",1995,3384,Drama|War
74,Bed of Roses,1996,3759,Drama|Romance
75,Big Bully,1996,576,Comedy|Drama
76,Screamers,1995,3609,Action|Sci-Fi|Thriller
77,Nico Icon,1995,227,Documentary
78,"Crossing Guard, The",1995,1264,Action|Crime|Drama|Thriller
79,"Juror, The",1996,6244,Drama|Thriller
80,"White Balloon, The (Badkonake sefid)",1995,593,Children|Drama
81,Things to Do in Denver When You're Dead,1995,3373,Crime|Drama|Romance
82,Antonia's Line (Antonia),1995,2693,Comedy|Drama
83,Once Upon a Time... When We Were Colored,1995,616,Drama|Romance
84,Last Summer in the Hamptons,1995,166,Comedy|Drama
85,Angels and Insects,1995,2818,Drama|Romance
86,White Squall,1996,4538,Action|Adventure|Drama
87,Dunston Checks In,1996,1046,Children|Comedy
88,Black Sheep,1996,5631,Comedy
89,Nick of Time,1995,3366,Action|Thriller
90,"Journey of August King, The",1995,222,Drama
92,Mary Reilly,1996,2416,Drama|Horror|Thriller
93,Vampire in Brooklyn,1995,2088,Comedy|Horror|Romance
94,Beautiful Girls,1996,4271,Comedy|Drama|Romance
95,Broken Arrow,1996,25145,Action|Adventure|Thriller
96,In the Bleak Midwinter,1995,507,Comedy|Drama
97,"Hate (Haine, La)",1995,2455,Crime|Drama
98,Shopping,1994,88,Action|Thriller
99,Heidi Fleiss: Hollywood Madam,1995,761,Documentary
100,City Hall,1996,4389,Drama|Thriller
101,Bottle Rocket,1996,4575,Adventure|Comedy|Crime|Romance
102,Mr. Wrong,1996,2090,Comedy
103,Unforgettable,1996,1185,Mystery|Sci-Fi|Thriller
104,Happy Gilmore,1996,20019,Comedy
105,"Bridges of Madison County, The",1995,10979,Drama|Romance
106,Nobody Loves Me (Keiner liebt mich),1994,137,Comedy|Drama
107,Muppet Treasure Island,1996,7891,Adventure|Children|Comedy|Musical
108,Catwalk,1996,136,Documentary
109,Headless Body in Topless Bar,1995,18,Comedy|Drama|Thriller
110,Braveheart,1995,61267,Action|Drama|War
111,Taxi Driver,1976,28402,Crime|Drama|Thriller
112,Rumble in the Bronx (Hont faan kui),1995,13137,Action|Adventure|Comedy|Crime
113,Before and After,1996,1140,Drama|Mystery
114,Margaret's Museum,1995,252,Drama
115,"Happiness Is in the Field (Bonheur est dans le pré, Le)",1995,44,Comedy
116,Anne Frank Remembered,1995,1027,Documentary
117,"Young Poisoner's Handbook, The",1995,1302,Crime|Drama
118,If Lucy Fell,1996,1167,Comedy|Romance
119,"Steal Big, Steal Little",1995,271,Comedy
120,Race the Sun,1996,161,Adventure|Comedy|Drama
121,"Boys of St. Vincent, The",1992,851,Drama
122,Boomerang,1992,4029,Comedy|Romance
123,Chungking Express (Chung Hing sam lam),1994,2546,Drama|Mystery|Romance
124,"Star Maker, The (Uomo delle stelle, L')",1995,333,Drama
125,Flirting With Disaster,1996,3605,Comedy
126,"NeverEnding Story III, The",1994,1470,Adventure|Children|Fantasy
127,"Silences of the Palace, The (Saimt el Qusur)",1994,49,Drama
128,Jupiter's Wife,1994,78,Documentary
129,Pie in the Sky,1996,200,Comedy|Romance
130,Angela,1995,41,Drama
131,Frankie Starlight,1995,198,Drama|Romance
132,Jade,1995,2172,Thriller
133,Nueba Yol,1995,21,Comedy|Drama
134,Sonic Outlaws,1995,36,Documentary
135,Down Periscope,1996,7537,Comedy
136,From the Journals of Jean Seberg,1995,106,Documentary
137,Man of the Year,1995,241,Documentary
138,"Neon Bible, The",1995,146,Drama
139,Target,1995,48,Action|Drama
140,Up Close and Personal,1996,5609,Drama|Romance
141,"Birdcage, The",1996,25237,Comedy
142,Shadows (Cienie),1988,43,Drama
143,Gospa,1995,15,Drama
144,"Brothers McMullen, The",1995,4621,Comedy
145,Bad Boys,1995,13796,Action|Comedy|Crime|Drama|Thriller
146,"Amazing Panda Adventure, The",1995,608,Adventure|Children
147,"Basketball Diaries, The",1995,4692,Drama
148,"Awfully Big Adventure, An",1995,366,Drama
149,Amateur,1994,1124,Crime|Drama|Thriller
150,Apollo 13,1995,54695,Adventure|Drama|IMAX
151,Rob Roy,1995,13343,Action|Drama|Romance|War
152,"Addiction, The",1995,675,Drama|Horror
153,Batman Forever,1995,37305,Action|Adventure|Comedy|Crime
154,Beauty of the Day (Belle de jour),1967,3167,Drama
155,Beyond Rangoon,1995,1306,Adventure|Drama|War
156,Blue in the Face,1995,1737,Comedy|Drama
157,Canadian Bacon,1995,2703,Comedy|War
158,Casper,1995,14882,Adventure|Children
159,Clockers,1995,2408,Crime|Drama|Mystery
160,Congo,1995,15590,Action|Adventure|Mystery|Sci-Fi
161,Crimson Tide,1995,25437,Drama|Thriller|War
162,Crumb,1994,6373,Documentary
163,Desperado,1995,16138,Action|Romance|Western
164,Devil in a Blue Dress,1995,4543,Crime|Film-Noir|Mystery|Thriller
165,Die Hard: With a Vengeance,1995,38783,Action|Crime|Thriller
166,"Doom Generation, The",1995,689,Comedy|Crime|Drama
167,Feast of July,1995,84,Drama
168,First Knight,1995,13357,Action|Drama|Romance
169,Free Willy 2: The Adventure Home,1995,3937,Adventure|Children|Drama
170,Hackers,1995,9105,Action|Adventure|Crime|Thriller
171,Jeffrey,1995,1450,Comedy|Drama
172,Johnny Mnemonic,1995,13903,Action|Sci-Fi|Thriller
173,Judge Dredd,1995,16173,Action|Crime|Sci-Fi
174,Jury Duty,1995,2171,Comedy
175,Kids,1995,5468,Drama
176,Living in Oblivion,1995,2420,Comedy
177,Lord of Illusions,1995,2354,Horror
178,Love & Human Remains,1993,517,Comedy|Drama
179,Mad Love,1995,1255,Drama|Romance
180,Mallrats,1995,9126,Comedy|Romance
181,Mighty Morphin Power Rangers: The Movie,1995,2865,Action|Children
182,Moonlight and Valentino,1995,712,Drama|Romance
183,Mute Witness,1994,628,Comedy|Horror|Thriller
184,Nadja,1994,339,Drama
185,"Net, The",1995,26006,Action|Crime|Thriller
186,Nine Months,1995,12776,Comedy|Romance
187,Party Girl,1995,965,Comedy
188,"Prophecy, The",1995,2605,Fantasy|Horror|Mystery
189,Reckless,1995,343,Comedy|Fantasy
190,Safe,1995,990,Thriller
191,"Scarlet Letter, The",1995,1797,Drama|Romance
192,The Show,1995,86,Documentary
193,Showgirls,1995,8568,Drama
194,Smoke,1995,6305,Comedy|Drama
195,Something to Talk About,1995,3342,Comedy|Drama|Romance
196,Species,1995,14749,Horror|Sci-Fi
197,"Stars Fell on Henrietta, The",1995,113,Drama
198,Strange Days,1995,9600,Action|Crime|Drama|Mystery|Sci-Fi|Thriller
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les)",1964,1587,Drama|Musical|Romance
200,"Tie That Binds, The",1995,349,Thriller
201,Three Wishes,1995,384,Drama|Fantasy
202,Total Eclipse,1995,421,Drama|Romance
203,"To Wong Foo, Thanks for Everything! Julie Newmar",1995,5874,Comedy
204,Under Siege 2: Dark Territory,1995,8976,Action
205,Unstrung Heroes,1995,1370,Comedy|Drama
206,Unzipped,1995,1052,Documentary
207,"Walk in the Clouds, A",1995,5884,Drama|Romance
208,Waterworld,1995,29559,Action|Adventure|Sci-Fi
209,White Man's Burden,1995,770,Drama
210,Wild Bill,1995,493,Western
211,"Browning Version, The",1994,596,Drama
212,Bushwhacked,1995,464,Adventure|Comedy|Crime|Mystery
213,Burnt by the Sun (Utomlyonnye solntsem),1994,1942,Drama
214,Before the Rain (Pred dozhdot),1994,993,Drama|War
215,Before Sunrise,1995,6066,Drama|Romance
216,Billy Madison,1995,9688,Comedy
217,"Babysitter, The",1995,1051,Drama|Thriller
